gene_id,S17S17_1,S17S17_2,S17S17_3,S17SDMSO_1,S17SDMSO_2,S17SDMSO_3,S5S1_1,S5S1_2,S5S1_3,S5SDMSO_1,S5SDMSO_2,S5SDMSO_3,S17S18_1,S17S18_2,S17S18_3,S13S8_1,S13S8_2,S13S8_3,S13SDMSO_1,S13SDMSO_2,S13SDMSO_3,S6S6_1,S6S6_2,S6S6_3,S6SDMSO_1,S6SDMSO_2,S6SDMSO_3
RRAGD,2.21097,2.20542,2.17743,1.84545,2.19558,1.83146,2.10196,1.98263,2.08403,2.19619,2.0494,2.29636,1.77454,2.33737,2.00426,2.02183,2.16801,2.352,1.21177,1.0159,1.5077,2.96064,2.94465,3.01653,1.19838,1.23051,0.958722
RRAS,17.2064,15.1118,14.5188,24.9976,24.3602,22.5511,16.1486,20.7804,17.7977,13.3969,15.0834,15.219,12.6149,14.7285,16.8014,42.5998,37.7747,36.5244,18.726,32.6945,26.2303,20.8038,16.7223,19.9419,18.3505,21.3374,19.3735
RRAS2,6.03395,6.15568,6.06614,7.55868,6.69526,6.58893,6.32341,6.0618,6.08268,6.41619,6.93388,6.95733,5.88152,5.7767,5.34324,6.18525,7.71626,6.83519,7.73344,4.68917,6.58616,8.9238,7.51182,8.51464,8.32146,8.80085,7.97233
RRBP1,18.0319,16.8535,12.4871,16.0868,16.1221,16.5114,23.1342,23.9749,22.6418,21.7838,20.9249,22.4705,15.6558,17.6925,17.4313,33.7112,33.2457,31.8957,19.828,21.1048,20.8252,19.4373,19.2643,18.9788,16.6834,17.7607,18.6835
RREB1,8.18654,8.1035,6.23121,6.68928,6.88561,6.46318,12.7197,12.6988,13.2358,11.932,11.1748,11.6742,7.36567,9.11241,9.21756,8.3109,9.11031,9.17576,7.50673,8.08536,8.57573,11.7067,11.0482,11.3405,10.6477,10.9462,10.9526
RRH,0.0392226,0.0364811,0.0373484,0.0,0.0,0.0,0.0726643,0.0341682,0.0,0.032962,0.0,0.0,0.0393782,0.0784229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0985452,0.0,0.0,0.0,0.0
RRM1,13.0781,14.911,16.5752,23.8036,21.3379,21.6507,13.463,10.8728,12.9703,17.161,16.9085,17.2869,17.2619,13.3397,15.3063,7.3901,8.62173,8.84136,20.8036,8.16358,14.0231,13.8902,14.1841,15.2592,18.2331,15.7624,16.8621
RRM2,23.6486,23.2011,28.6655,55.7757,55.2489,57.4925,35.8227,35.9129,33.3964,56.709,55.8753,56.4849,31.4112,25.297,30.5649,24.1947,28.0338,35.4582,67.8694,61.5088,69.8707,35.3504,34.9407,35.2176,48.7785,52.059,48.8921
RRM2B,30.3527,30.7145,35.3235,28.078,27.1389,26.4463,19.0651,15.2852,19.6886,20.2529,20.0477,20.1701,34.2228,31.5118,29.1737,7.17775,9.03526,10.1444,19.8578,4.09608,7.93793,21.0381,25.129,26.2928,20.176,14.5855,16.4539
RRN3,18.2878,19.248,22.5981,27.3616,29.4371,28.3232,19.8613,16.5699,19.7583,22.4979,22.8385,21.5995,20.6567,19.4786,18.7145,12.1907,17.0241,15.4625,21.2415,7.70997,12.3277,23.0146,24.9938,25.7285,25.8409,22.1549,24.4238
RRNAD1,7.16443,6.55265,5.91619,6.37878,5.8753,5.42298,6.5983,6.34245,5.80373,5.95172,5.57589,5.83506,5.13754,6.80246,6.3452,7.37773,7.08584,8.13734,6.52905,8.39516,8.08426,5.09419,5.19895,4.63778,6.6872,6.79577,6.10544
RRP1,14.7325,14.9007,10.4769,16.9577,19.2039,16.0901,17.858,18.2759,15.4095,18.5169,18.6949,19.8957,13.3883,13.6852,14.7884,29.6475,29.3201,27.7806,23.6279,32.6163,26.2702,19.2214,16.7152,18.0591,18.5074,19.9507,20.5248
RRP12,3.40346,5.20151,3.10617,5.19747,4.96505,5.00628,3.83181,3.80045,3.24254,3.70204,3.80016,3.42156,3.79103,3.25633,3.38432,10.5777,10.4685,9.94261,7.48966,9.9446,8.72243,4.40241,3.94543,3.46186,4.37649,4.84603,4.57546
RRP15,2.66423,3.25972,3.54024,3.69059,3.6575,3.7893,2.06764,1.6343,1.70869,2.39017,2.24083,2.33911,3.23612,2.78096,2.47372,2.07515,2.59138,2.22383,3.05266,1.40667,1.73739,1.95855,2.5762,2.3656,2.37845,2.21646,2.23927
RRP1B,10.7052,10.589,8.45244,10.8903,11.0412,10.1341,10.753,9.63379,11.0857,12.4155,11.8289,12.6276,9.15102,11.2538,10.245,7.80883,8.49488,8.76974,13.0942,8.73695,10.3538,11.7477,12.339,12.6884,12.3529,10.5673,10.7028
RRP36,26.8174,28.2875,23.8119,34.1275,31.9923,32.7055,25.1318,25.4881,22.6089,28.6127,27.3397,26.0082,28.1523,25.283,25.9928,58.5073,57.6643,55.134,44.0294,45.5835,42.2457,32.3458,32.727,34.0091,32.6118,33.5566,33.4378
RRP7A,3.90932,3.95002,3.56047,4.4335,4.83783,4.72553,4.73466,5.66887,4.75836,4.9306,4.93108,4.48596,4.10959,3.96603,4.55603,10.853,10.9193,10.5538,8.14454,11.1388,9.55545,4.71467,4.41687,4.45442,5.76668,6.50469,6.41477
